sku,name,description,unit,volume_l,price_eur,active,category,material_type,unit_package,tags
sku_latex_10,Latexfarbe weiß 10L,Scheuerbeständige Latexfarbe für stark beanspruchte Bereiche,l,10,89.9,True,paint,latex_paint_white,Eimer,"latex;weiß;scheuerbeständig;küche;bad"
sku_latex_5,Latexfarbe weiß 5L,Scheuerbeständige Latexfarbe,l,5,49.9,True,paint,latex_paint_white,Eimer,"latex;weiß;scheuerbeständig;klein"
sku_mineralfarbe_10,Silikat-Mineralfarbe 10L,Atmungsaktive Mineralfarbe für innen und außen,l,10,119.9,True,paint,mineral_paint,Eimer,"mineralfarbe;atmungsaktiv;innen;außen"
sku_fassadenfarbe_12_5,Fassadenfarbe weiß 12.5L,Hochdeckende Außenfarbe,l,12.5,79.9,True,paint,facade_paint_white,Eimer,"fassade;außen;weiß;wetterfest"
sku_fassadenfarbe_5,Fassadenfarbe weiß 5L,Hochdeckende Außenfarbe,l,5,39.9,True,paint,facade_paint_white,Eimer,"fassade;außen;weiß;klein"
sku_kalkfarbe_10,Kalkfarbe naturweiß 10L,Natürliche Kalkfarbe für ökologisches Streichen,l,10,99.9,True,paint,lime_paint,Eimer,"kalkfarbe;öko;naturweiß;natürlich"
sku_holzschutzfarbe_2_5,Holzschutzfarbe deckend 2.5L,Wetterfeste Holzschutzfarbe für außen,l,2.5,44.9,True,paint,wood_paint,Dose,"holz;außen;wetterfest;deckend"
sku_holzschutzfarbe_750ml,Holzschutzfarbe deckend 750ml,Wetterfeste Holzschutzfarbe für außen,l,0.75,16.9,True,paint,wood_paint,Dose,"holz;außen;wetterfest;klein"
sku_holzlasur_2_5,Holzlasur Kiefer 2.5L,Transparente Holzlasur,l,2.5,34.9,True,paint,wood_stain,Dose,"holzlasur;transparent;kiefer;außen"
sku_holzlasur_750ml,Holzlasur Kiefer 750ml,Transparente Holzlasur,l,0.75,14.9,True,paint,wood_stain,Dose,"holzlasur;transparent;kiefer;klein"
sku_buntlack_2_5,Buntlack seidenmatt 2.5L,Universeller Buntlack für innen und außen,l,2.5,42.9,True,paint,enamel_paint,Dose,"buntlack;seidenmatt;universal"
sku_buntlack_750ml,Buntlack seidenmatt 750ml,Universeller Buntlack für innen und außen,l,0.75,15.9,True,paint,enamel_paint,Dose,"buntlack;seidenmatt;klein"
sku_magnetfarbe_1l,Magnetfarbe 1L,Farbe mit magnetischer Wirkung,l,1,29.9,True,paint,specialty_paint,Dose,"magnetfarbe;speziell;wand"
sku_tafelfarbe_1l,Tafelfarbe schwarz 1L,Beschreibbare Tafellackfarbe,l,1,24.9,True,paint,specialty_paint,Dose,"tafelfarbe;schwarz;kreide;beschreibbar"
sku_rostschutz_2_5,Rostschutzfarbe 2.5L,Direkt auf Rost streichbare Farbe,l,2.5,54.9,True,paint,rust_protection,Dose,"rostschutz;metall;direkt"
sku_rostschutz_750ml,Rostschutzfarbe 750ml,Direkt auf Rost streichbare Farbe,l,0.75,19.9,True,paint,rust_protection,Dose,"rostschutz;metall;klein"
sku_haftgrund_spray,Haftgrund Spray 400ml,Grundierung als Spraydose,l,0.4,12.9,True,primer,primer_spray,Spraydose,"spray;grundierung;schnell"
sku_sperrgrund_2_5,Isoliergrund Sperrgrund 2.5L,Gegen Nikotin- und Wasserflecken,l,2.5,39.9,True,primer,blocking_primer,Dose,"isoliergrund;sperrgrund;nikotin;flecken"
sku_sperrgrund_750ml,Isoliergrund Sperrgrund 750ml,Gegen Nikotin- und Wasserflecken,l,0.75,15.9,True,primer,blocking_primer,Dose,"isoliergrund;sperrgrund;klein"
sku_tiefengrund_konzentrat,Tiefengrund Konzentrat 1L,Konzentrat 1:3 verdünnbar,l,1,14.9,True,primer,primer_concentrate,Flasche,"konzentrat;verdünnbar;tiefengrund"
sku_gipskarton_spachtel,Fugenspachtel Gipskarton 20kg,Spezial-Spachtelmasse für Gipskartonplatten,kg,20,29.9,True,filler,joint_compound,Eimer,"gipskarton;fugen;spachtel;groß"
sku_fertigspachtel_8kg,Fertigspachtel 8kg,Gebrauchsfertige Spachtelmasse,kg,8,19.9,True,filler,ready_mixed_filler,Eimer,"fertigspachtel;gebrauchsfertig;spachtel"
sku_reparaturspachtel,Reparaturspachtel 400g,Schnellhärtende Spachtelmasse,kg,0.4,7.9,True,filler,repair_filler,Tube,"reparatur;schnell;spachtel"
sku_holzspachtel_400g,Holzspachtel 400g,Spachtelmasse für Holz,kg,0.4,8.9,True,filler,wood_filler,Dose,"holz;spachtel;holzreparatur"
sku_acryl_kartuschen_12x,Maleracryl 12er Karton,Karton mit 12 Kartuschen à 310ml,l,3.72,45.0,True,sealant,acryl_sealant,Karton,"maleracryl;fugen;bulk;12er"
sku_silikon_transparent,Sanitärsilikon transparent 310ml,Durchsichtiges Silikon für Nassräume,l,0.31,7.9,True,sealant,silicone_sealant,Kartusche,"silikon;transparent;sanitär"
sku_montagekleber_310ml,Montagekleber 310ml,Extra starker Baukleber,l,0.31,9.9,True,sealant,construction_adhesive,Kartusche,"kleber;montage;stark"
sku_abdeckpapier_50m,Abdeckpapier 50m,Saugstarkes Maler-Abdeckpapier 1m breit,m,50,12.9,True,foil,cover_paper,Rolle,"papier;abdeckung;saugend"
sku_abdeckpapier_25m,Abdeckpapier 25m,Saugstarkes Maler-Abdeckpapier 1m breit,m,25,7.9,True,foil,cover_paper,Rolle,"papier;abdeckung;klein"
sku_malerkrepp_gold,Premium Abklebeband Gold 50m,Für scharfe Farbkanten,m,50,8.9,True,tape,tape_premium,Rolle,"gold;premium;kanten;scharf"
sku_gewebeband_50m,Gewebeband 50m,Reißfestes Panzerband,m,50,6.9,True,tape,duct_tape,Rolle,"gewebe;panzerband;stark;reißfest"
sku_doppelseitig_10m,Doppelseitiges Klebeband 10m,Für Abdeckfolien,m,10,4.9,True,tape,double_sided_tape,Rolle,"doppelseitig;folie;fixierung"
sku_farbrolle_lackier,Lackierrolle 10cm,Schaumstoffrolle für Lacke,stk,1,6.9,True,tools,foam_roller,Stück,"rolle;lack;schaumstoff;10cm"
sku_farbrolle_fassade,Fassadenrolle 25cm,Langflorige Rolle für raue Flächen,stk,1,9.9,True,tools,facade_roller,Stück,"rolle;fassade;grob;25cm"
sku_pinsel_lasur,Lasurpinsel 60mm,Spezialpinsel für Lasuren,stk,1,8.9,True,tools,brush_stain,Stück,"pinsel;lasur;60mm;holz"
sku_pinsel_heizkörper,Heizkörperpinsel,Abgewinkelter Pinsel für schwer erreichbare Stellen,stk,1,4.9,True,tools,brush_radiator,Stück,"pinsel;heizkörper;abgewinkelt"
sku_farbsprühgerät,Farbsprühgerät elektrisch,Elektrisches HVLP Sprühsystem,stk,1,149.9,True,tools,paint_sprayer,Gerät,"sprühgerät;elektrisch;hvlp;professionell"
sku_rührquirl,Rührquirl für Bohrmaschine,Mischer für Farben und Spachtelmassen,stk,1,12.9,True,tools,mixer,Stück,"rührquirl;mischer;bohrmaschine"
sku_teleskopstange_3m,Teleskopstange 3m,Ausziehbare Stange 1.5-3m,m,3,16.9,True,tools,extension_pole,Stange,"teleskopstange;3m;ausziehbar"
sku_leiter_6stufen,Trittleiter 6 Stufen,Aluminium-Haushaltsleiter,stk,1,79.9,True,tools,ladder,Leiter,"leiter;trittleiter;6stufen;aluminium"
sku_gerüstbock_2er,Gerüstböcke 2er Set,Höhenverstellbare Böcke bis 150kg,stk,2,89.9,True,tools,scaffolding,Set,"gerüst;böcke;2er;verstellbar"
sku_farbeimer_set_3x,Farbeimer-Set 3 Stück,3 Eimer à 12L,l,36,19.9,True,accessories,bucket_paint,Set,"eimer;12l;3er;set"
sku_abstreifgitter,Abstreifgitter für Eimer,Passend für 12L Eimer,stk,1,2.9,True,accessories,paint_grid,Stück,"gitter;abstreifer;eimer"
sku_farbwanne_set,Farbwanne mit Einlage,Farbroller-Set mit 2 Einlagen,stk,1,7.9,True,accessories,paint_tray,Set,"farbwanne;einlage;rolle"
sku_maleranzug_xl,Maleranzug XL,Einweg-Schutzanzug,stk,1,4.9,True,consumables,coverall,Stück,"schutzanzug;einweg;xl;schutz"
sku_nitrilhandschuhe_100,Nitrilhandschuhe 100er Box,Latexfreie Einweghandschuhe,stk,100,14.9,True,consumables,gloves_nitrile,Box,"handschuhe;nitril;100er;latexfrei"
sku_staubmaske_10x,Staubschutzmaske 10er Pack,FFP2 Atemschutzmasken,stk,10,12.9,True,consumables,dust_mask,Pack,"maske;ffp2;staub;schutz"
